;1  The first column is the upper electronic state 
;2  (2=Lyman (B-X), 3= Werner (C-X))
;3  nup is the upper vibrational level 
;4  npp is the lower vibrational level 
;5  Jup is the upper rotational level 
;6  Jpp is the lower rotational level 
;7  
;8
;9   nup  npp Jup Jpp      wave         f           gu     gamma         label  rank 
133 2   7   0   8   7   1036.00   0.0178716   45   1.06390e+09   L7-0R(7)   13
134 2   7   0   6   7   1040.42   0.0105485   45   1.21640e+09   L7-0P(7)   14
135 2   7   0   9   8   1042.75   0.018       17   1.1e+09   L7-0R(8)   15
136 2   7   0   7   8   1047.74   0.011       17   1.1e+09   L7-0P(8)   16
137 2   8   0   1   0   1001.82   0.0266325   1   1.14780e+09   L8-0R(0)   0
138 2   8   0   2   1   1002.45   0.0183298   9   1.12710e+09   L8-0R(1)   1
139 2   8   0   0   1   1003.29   0.00855146   9   1.16920e+09   L8-0P(1)   2
140 2   8   0   3   2   1003.98   0.0167134   5   1.08810e+09   L8-0R(2)   3
141 2   8   0   1   2   1005.39   0.0100017   5   1.14780e+09   L8-0P(2)   4
142 2   8   0   4   3   1006.41   0.0158139   21   1.04720e+09   L8-0R(3)   5
143 2   8   0   2   3   1008.38   0.0104532   21   1.12710e+09   L8-0P(3)   6
144 2   8   0   5   4   1009.72   0.0141979   9   1.04070e+09   L8-0R(4)   7
145 2   8   0   3   4   1012.26   0.0107533   9   1.08810e+09   L8-0P(4)   8
146 2   8   0   6   5   1013.71   0.00118345   33   1.22410e+09   L8-0R(5)   9
147 2   8   0   4   5   1017.00   0.0111644   33   1.04720e+09   L8-0P(5)   10
148 2   8   0   7   6   1019.01   0.0197586   13   9.84440e+08   L8-0R(6)   11
149 2   8   0   5   6   1022.58   0.0126016   13   1.04070e+09   L8-0P(6)   12
150 2   8   0   8   7   1024.87   0.0196312   45   9.92150e+08   L8-0R(7)   13
151 2   8   0   6   7   1028.80   0.0233788   45   1.22410e+09   L8-0P(7)   14
152 2   8   0   9   8   1031.56   0.0019       17   1.0e+09   L8-0R(8)   15
153 2   8   0   7   8   1036.30   0.0071       17   1.0e+09   L8-0P(8)   16
154 2   9   0   1   0   991.380   0.0260803   1   1.12450e+09   L9-0R(0)   0
155 2   9   0   2   1   992.010   0.0181958   9   1.12400e+09   L9-0R(1)   1
156 2   9   0   0   1   992.810   0.00788117   9   1.12870e+09   L9-0P(1)   2
157 2   9   0   3   2   993.550   0.0169895   5   1.11820e+09   L9-0R(2)   3
158 2   9   0   1   2   994.870   0.00863605   5   1.12450e+09   L9-0P(2)   4
159 2   9   0   4   3   995.970   0.0166347   21   1.10400e+09   L9-0R(3)   5
160 2   9   0   2   3   997.820   0.00874278   21   1.12400e+09   L9-0P(3)   6
161 2   9   0   5   4   999.270   0.0166501   9   1.10280e+09   L9-0R(4)   7
162 2   9   0   3   4   1001.65   0.00865723   9   1.11820e+09   L9-0P(4)   8
163 2   9   0   6   5   1003.43   0.0164124   33   1.09550e+09   L9-0R(5)   9
164 2   9   0   4   5   1006.34   0.00857132   33   1.10400e+09   L9-0P(5)   10
165 2   9   0   7   6   1008.43   0.0163599   13   1.08730e+09   L9-0R(6)   11
166 2   9   0   5   6   1011.87   0.00870228   13   1.10280e+09   L9-0P(6)   12
167 2   9   0   8   7   1014.25   0.0160803   45   1.08860e+09   L9-0R(7)   13
168 2   9   0   6   7   1018.21   0.00875588   45   1.09550e+09   L9-0P(7)   14
169 2   9   0   9   8   1020.86   0.0150       17   1.1e+09   L9-0R(8)   15
170 2   9   0   7   8   1025.35   0.0091       17   1.1e+09   L9-0P(8)   16
171 2   10   0   1   0   981.440   0.0207946   1   1.07380e+09   L10-0R(0)   0
172 2   10   0   2   1   982.070   0.0137362   9   1.07250e+09   L10-0R(1)   1
173 2   10   0   0   1   982.830   0.00675808   9   1.06880e+09   L10-0P(1)   2
174 2   10   0   3   2   983.590   0.0115742   5   1.07210e+09   L10-0R(2)   3
175 2   10   0   1   2   984.860   0.00820139   5   1.07380e+09   L10-0P(2)   4
176 2   10   0   4   3   985.960   0.00824471   21   1.07350e+09   L10-0R(3)   5
177 2   10   0   2   3   987.770   0.00888101   21   1.07250e+09   L10-0P(3)   6
178 2   10   0   5   4   989.550   0.0305024   9   1.25550e+09   L10-0R(4)   7
179 2   10   0   3   4   991.530   0.00997347   9   1.07210e+09   L10-0P(4)   8
180 2   10   0   6   5   993.490   0.0209855   33   1.06760e+09   L10-0R(5)   9
181 2   10   0   4   5   996.120   0.0121712   33   1.07350e+09   L10-0P(5)   10
182 2   10   0   7   6   998.420   0.0172438   13   9.91280e+08   L10-0R(6)   11
183 2   10   0   5   6   1001.91   0.000267415   13   1.25550e+09   L10-0P(6)   12
184 2   10   0   8   7   1004.19   0.0171336   45   9.91550e+08   L10-0R(7)   13
185 2   10   0   6   7   1007.98   0.00369635   45   1.06760e+09   L10-0P(7)   14
186 2   10   0   9   8   1010.75   0.0170       17   1.0e+09   L10-0R(8)   15
187 2   10   0   7   8   1015.01   0.0055       17   1.0e+09   L10-0P(8)   16
188 2   11   0   1   0   971.980   0.0199707   1   1.02470e+09   L11-0R(0)   0
189 2   11   0   2   1   972.630   0.0139462   9   1.01930e+09   L11-0R(1)   1
190 2   11   0   0   1   973.340   0.00568131   9   1.02070e+09   L11-0P(1)   2
191 2   11   0   3   2   974.160   0.0131460   5   1.00430e+09   L11-0R(2)   3
192 2   11   0   1   2   975.340   0.00667448   5   1.02470e+09   L11-0P(2)   4
193 2   11   0   4   3   976.550   0.0128674   21   9.50710e+08   L11-0R(3)   5
194 2   11   0   2   3   978.220   0.00676314   21   1.01930e+09   L11-0P(3)   6
195 2   11   0   5   4   979.800   0.0128413   9   9.41830e+08   L11-0R(4)   7
196 2   11   0   3   4   981.950   0.00674598   9   1.00430e+09   L11-0P(4)   8
197 2   11   0   6   5   983.900   0.0126924   33   8.99830e+08   L11-0R(5)   9
198 2   11   0   4   5   986.520   0.00668512   33   9.50710e+08   L11-0P(5)   10
199 2   11   0   7   6   988.810   0.0121777   13   8.93570e+08   L11-0R(6)   11
200 2   11   0   5   6   991.910   0.00686461   13   9.41830e+08   L11-0P(6)   12
201 2   11   0   8   7   994.520   0.0109234   45   9.01780e+08   L11-0R(7)   13
202 2   11   0   6   7   998.110   0.00711920   45   8.99830e+08   L11-0P(7)   14
203 2   11   0   9   8   1000.82   0.0020       17   9.0+e08   L11-0R(8)   15
204 2   11   0   7   8   1005.08   0.0078       17   9.0+e08   L11-0P(8)   16
205 2   12   0   1   0   962.980   0.0133464   1   9.83570e+08   L12-0R(0)   0
206 2   12   0   2   1   963.610   0.00719238   9   9.96500e+08   L12-0R(1)   1
207 2   12   0   0   1   964.310   0.00511169   9   9.81100e+08   L12-0P(1)   2
208 2   12   0   3   2   965.040   0.00160285   5   1.07910e+09   L12-0R(2)   3
209 2   12   0   1   2   966.270   0.00646694   5   9.83570e+08   L12-0P(2)   4
210 2   12   0   4   3   967.670   0.0234640   21   1.07930e+09   L12-0R(3)   5
211 2   12   0   2   3   969.090   0.00814601   21   9.96500e+08   L12-0P(3)   6
212 2   12   0   5   4   970.830   0.0160612   9   9.95590e+08   L12-0R(4)   7
213 2   12   0   3   4   972.690   0.0132387   9   1.07910e+09   L12-0P(4)   8
214 2   12   0   6   5   974.880   0.0143130   33   9.78540e+08   L12-0R(5)   9
215 2   12   0   4   5   977.460   0.000363303   33   1.07930e+09   L12-0P(5)   10
216 2   12   0   7   6   979.760   0.0134503   13   9.69620e+08   L12-0R(6)   11
217 2   12   0   5   6   982.720   0.00257269   13   9.95590e+08   L12-0P(6)   12
218 2   12   0   8   7   985.440   0.0131998   45   9.70080e+08   L12-0R(7)   13
219 2   12   0   6   7   988.840   0.00355731   45   9.78540e+08   L12-0P(7)   14
220 2   12   0   9   8   991.892   0.0130       17   9.0e+08   L12-0R(8)   15
221 2   12   0   7   8   995.729   0.0042       17   9.0e+08   L12-0P(8)   16
222 2   13   0   1   0   954.410   0.0143390   1   9.38570e+08   L13-0R(0)   0
223 2   13   0   2   1   955.060   0.00980027   9   9.41970e+08   L13-0R(1)   1
224 2   13   0   0   1   955.710   0.00424496   9   9.38650e+08   L13-0P(1)   2
225 2   13   0   3   2   956.580   0.00921874   5   9.42230e+08   L13-0R(2)   3
226 2   13   0   1   2   957.650   0.00478468   5   9.38570e+08   L13-0P(2)   4
227 2   13   0   4   3   958.940   0.00903976   21   9.23360e+08   L13-0R(3)   5
228 2   13   0   2   3   960.450   0.00493914   21   9.41970e+08   L13-0P(3)   6
229 2   13   0   5   4   962.150   0.00882061   9   9.27510e+08   L13-0R(4)   7
230 2   13   0   3   4   964.090   0.00498549   9   9.42230e+08   L13-0P(4)   8
231 2   13   0   6   5   966.180   0.00826983   33   9.14220e+08   L13-0R(5)   9
232 2   13   0   4   5   968.550   0.00506298   33   9.23360e+08   L13-0P(5)   10
233 2   13   0   7   6   971.000   0.00717627   13   9.12930e+08   L13-0R(6)   11
234 2   13   0   5   6   973.830   0.00541362   13   9.27510e+08   L13-0P(6)   12
