@3@CO@K@v@J@p
#2264         # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Quantum number
#J            # Quantum number
#p            # Quantum number
# n      g       E(K)        v    J    p
#---data--------------------------------
 587   91.0 105839.698146    4   45    1
 588   91.0 105839.698652    4   45    0
 589   35.0 105845.079065    6   17    0
 590   35.0 105845.568100    6   17    1
 591   69.0 105848.349082    5   34    1
 592   69.0 105848.349421    5   34    0
 593   37.0 105920.183073    6   18    0
 594   37.0 105920.283629    6   18    1
 595   71.0 105996.236426    5   35    1
 596   71.0 105996.236779    5   35    0
 597   39.0 105999.574628    6   19    0
 598   39.0 105999.646399    6   19    1
 599   93.0 106035.388834    4   46    1
 600   93.0 106035.389360    4   46    0
 601   41.0 106083.268116    6   20    0
 602   41.0 106083.339877    6   20    1
 603   73.0 106148.232321    5   36    1
 604   73.0 106148.232687    5   36    0
 605   43.0 106171.162822    6   21    0
 606   43.0 106171.234573    6   21    1
 607   95.0 106235.136694    4   47    1
 608   95.0 106235.137237    4   47    0
 609   45.0 106263.229773    6   22    1
 610   45.0 106263.273135    6   22    0
 611   75.0 106304.326896    5   37    1
 612   75.0 106304.327277    5   37    0
 613   47.0 106359.440788    6   23    0
 614   47.0 106359.454967    6   23    1
 615   97.0 106438.929016    4   48    1
 616   97.0 106438.929579    4   48    0
 617   49.0 106459.881380    6   24    1
 618   49.0 106459.881599    6   24    0
 619   77.0 106464.510007    5   38    1
 620   77.0 106464.510402    5   38    0
 621   51.0 106564.350744    6   25    1
 622   51.0 106564.379750    6   25    0
 623   79.0 106628.771236    5   39    1
 624   79.0 106628.771646    5   39    0
 625   99.0 106646.752823    4   49    1
 626   99.0 106646.753404    4   49    0
 627   53.0 106673.050101    6   26    1
 628   53.0 106673.079119    6   26    0
 629   55.0 106785.806799    6   27    1
 630   55.0 106785.850215    6   27    0
 631   81.0 106797.099887    5   40    1
 632   81.0 106797.100313    5   40    0
 633  101.0 106858.594864    4   50    1
 634  101.0 106858.595465    4   50    0
 635   57.0 106902.707162    6   28    1
 636   57.0 106902.721815    6   28    0
 637   83.0 106969.484995    5   41    1
 638   83.0 106969.485436    5   41    0
 639   59.0 107023.492211    6   29    1
 640   59.0 107023.751468    6   29    0
 641    3.0 107037.063766    7    1    1
 642    3.0 107037.063774    7    1    0
 643    5.0 107045.336716    7    2    1
 644    5.0 107045.379897    7    2    0
 645    7.0 107057.753361    7    3    0
 646    7.0 107057.782112    7    3    1
