Proba d'emission B-X
  vu      ju      vl      jl     Proba d'emission(s-1)
 27       0       0       1      0.104068D+08
 24       0       1       1      0.472153D+08
 25       0       1       1      0.430324D+08
 26       0       1       1      0.389210D+08
 27       0       1       1      0.349822D+08
 24       0       2       1      0.282959D+08
 25       0       2       1      0.310076D+08
 26       0       2       1      0.327838D+08
 27       0       2       1      0.337034D+08
 24       0       3       1      0.410305D+05
 25       0       3       1      0.369055D+06
 26       0       3       1      0.175433D+07
 27       0       3       1      0.379231D+07
 24       0       4       1      0.259969D+08
 25       0       4       1      0.200216D+08
 26       0       4       1      0.144584D+08
 27       0       4       1      0.969221D+07
 24       0       5       1      0.231522D+08
 25       0       5       1      0.264187D+08
 26       0       5       1      0.277712D+08
 27       0       5       1      0.273988D+08
 24       0       6       1      0.301056D+05
 25       0       6       1      0.870655D+06
 26       0       6       1      0.357100D+07
 27       0       6       1      0.718953D+07
 24       0       7       1      0.224199D+08
 25       0       7       1      0.154478D+08
 26       0       7       1      0.912014D+07
 27       0       7       1      0.429503D+07
 24       0       8       1      0.207641D+08
 25       0       8       1      0.243088D+08
 26       0       8       1      0.248784D+08
 27       0       8       1      0.229119D+08
 24       0       9       1      0.821009D+05
 25       0       9       1      0.250258D+07
 26       0       9       1      0.697419D+07
 27       0       9       1      0.118090D+08
 24       0      10       1      0.149821D+08
 25       0      10       1      0.761786D+07
 26       0      10       1      0.243388D+07
 27       0      10       1      0.144567D+06
 24       0      11       1      0.218958D+08
 25       0      11       1      0.215036D+08
 26       0      11       1      0.177618D+08
 27       0      11       1      0.124010D+08
 24       0      12       1      0.542997D+07
 25       0      12       1      0.111672D+08
 26       0      12       1      0.155260D+08
 27       0      12       1      0.172380D+08
 24       0      13       1      0.679698D+06
 25       0      13       1      0.321845D+06
 26       0      13       1      0.308010D+07
 27       0      13       1      0.707747D+07
 24       0      14       1      0.790183D+07
 25       0      14       1      0.289892D+07
 26       0      14       1      0.280473D+06
 27       0      14       1      0.325101D+06
 24       0      15       1      0.101247D+08
 25       0      15       1      0.678033D+07
 26       0      15       1      0.321051D+07
 27       0      15       1      0.782994D+06
 24       0      16       1      0.674461D+07
 25       0      16       1      0.467989D+07
 26       0      16       1      0.367546D+07
 27       0      16       1      0.147172D+07
 24       0      17       1      0.513578D+07
 25       0      17       1      0.116809D+08
 26       0      17       1      0.557748D+07
 27       0      17       1      0.103208D+08
 28       0       0       1      0.871666D+07
 29       0       0       1      0.730954D+07
 30       0       0       1      0.613672D+07
 31       0       0       1      0.515756D+07
 28       0       1       1      0.312790D+08
 29       0       1       1      0.278456D+08
 30       0       1       1      0.246941D+08
 31       0       1       1      0.218231D+08
 28       0       2       1      0.338777D+08
 29       0       2       1      0.334290D+08
 30       0       2       1      0.324768D+08
 31       0       2       1      0.311308D+08
 28       0       3       1      0.614208D+07
 29       0       3       1      0.853591D+07
 30       0       3       1      0.107764D+08
 31       0       3       1      0.127277D+08
 28       0       4       1      0.591010D+07
 29       0       4       1      0.314735D+07
 30       0       4       1      0.133519D+07
 31       0       4       1      0.341919D+06
 28       0       5       1      0.256656D+08
 29       0       5       1      0.229971D+08
 30       0       5       1      0.198026D+08
 31       0       5       1      0.164319D+08
 28       0       6       1      0.109277D+08
 29       0       6       1      0.142093D+08
 30       0       6       1      0.166889D+08
 31       0       6       1      0.182210D+08
 28       0       7       1      0.130281D+07
 29       0       7       1      0.708687D+05
 30       0       7       1      0.276796D+06
 31       0       7       1      0.148538D+07
 28       0       8       1      0.192515D+08
 29       0       8       1      0.148164D+08
 30       0       8       1      0.103927D+08
 31       0       8       1      0.653498D+07
 28       0       9       1      0.157543D+08
 29       0       9       1      0.181337D+08
 30       0       9       1      0.187895D+08
 31       0       9       1      0.179326D+08
 28       0      10       1      0.490777D+06
 29       0      10       1      0.266131D+07
 30       0      10       1      0.568825D+07
 31       0      10       1      0.872060D+07
 28       0      11       1      0.709994D+07
 29       0      11       1      0.301519D+07
 30       0      11       1      0.659313D+06
 31       0      11       1      0.277202D+04
 28       0      12       1      0.162752D+08
 29       0      12       1      0.134009D+08
 30       0      12       1      0.965772D+07
 31       0      12       1      0.598738D+07
 28       0      13       1      0.106041D+08
 29       0      13       1      0.126313D+08
 30       0      13       1      0.128794D+08
 31       0      13       1      0.116260D+08
 28       0      14       1      0.226369D+07
 29       0      14       1      0.494306D+07
 30       0      14       1      0.734526D+07
 31       0      14       1      0.884627D+07
 28       0      15       1      0.422665D+02
 29       0      15       1      0.643702D+06
 30       0      15       1      0.211355D+07
 31       0      15       1      0.375643D+07
 28       0      16       1      0.450852D+06
 29       0      16       1      0.155075D+03
